WEEK_COL,SITE_ID,LATITUDE,LONGITUDE,PH,CONDUCTIVITY_μS,TEMPERATURE_C,DEPTH_CM,LENGTH_M,WIDTH_M,PCT_CANOPY_COVER,TOC,TN,DOC,TDN,CHLORIDE,NITRATE,SULFATE,PHOSPHATE
WEEK_05,BDEG_3,40.803684,-77.499264,NA,NA,NA,NA,NA,NA,82.32,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,SPRL_1,41.103806,-77.988083,NA,NA,NA,NA,NA,NA,41.76,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,SPRL_3,41.159775,-77.899456,NA,NA,NA,NA,NA,NA,37.08,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,MSHN_1,40.845951,-78.097878,NA,NA,NA,NA,NA,NA,50.6,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,MSHN_2,40.935831,-78.032284,NA,NA,NA,NA,NA,NA,77.9,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,MSHN_3,40.935831,-78.032284,NA,NA,NA,NA,NA,NA,67.24,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,BDEG_1,40.799645,-77.512437,NA,NA,NA,NA,NA,NA,94.28,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,BDEG_2,40.800813,-77.506195,NA,NA,NA,NA,NA,NA,99.48,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_06,BDEG_3,40.803684,-77.499264,NA,NA,NA,NA,NA,NA,84.92,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_07,SPRL_1,41.103806,-77.988083,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_07,SPRL_3,41.159775,-77.899456,NA,NA,NA,NA,NA,NA,50.34,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_07,MSHN_1,40.845951,-78.097878,NA,NA,NA,NA,NA,NA,58.4,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_07,MSHN_2,40.935831,-78.032284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_07,MSHN_3,40.935831,-78.032284,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_07,BDEG_1,40.799645,-77.512437,NA,NA,NA,NA,NA,NA,94.28,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_07,BDEG_2,40.800813,-77.506195,NA,NA,NA,NA,NA,NA,99.22,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_07,BDEG_3,40.803684,-77.499264,NA,NA,NA,NA,NA,NA,82.32,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_08,SPRL_1,41.103806,-77.988083,5.77,25.7,21.2,20.5,19.89,16.46,44.62,11.49,1.073,11.99,0.8568,3.765,0.1275,1.9849,0.3342
WEEK_08,SPRL_3,41.159775,-77.899456,4.7,25.5,20.2,19,25.42,25.1,31.62,10.51,0.4579,11.2,0.3543,1.4311,0.1493,3.0621,0.1873
WEEK_08,MSHN_1,40.845951,-78.097878,7.15,20.9,19.3,12.5,15.16,8.08,44.36,9.502,2.077,10.6,1.373,1.2226,0.1988,1.935,NA
WEEK_08,MSHN_2,40.935831,-78.032284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_08,MSHN_3,40.935831,-78.032284,NA,NA,NA,NA,NA,NA,63.6,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_08,BDEG_1,40.799645,-77.512437,NA,NA,NA,NA,NA,NA,94.28,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_08,BDEG_2,40.800813,-77.506195,5.57,53.8,17.1,18,13.43,8.79,98.44,13.35,0.3877,14.76,0.3768,1.2398,0.1569,7.7165,NA
WEEK_08,BDEG_3,40.803684,-77.499264,NA,NA,NA,NA,NA,NA,79.82,NA,NA,NA,NA,NA,NA,NA,NA
WEEK_09,SPRL_1,41.103806,-77.988083,5.85,50.2,20.3,16,19.36,15.65,65.68,11.94,11.94,12.66,0.819,5.1157,0.1012,1.3526,0.3234
WEEK_09,SPRL_3,41.159775,-77.899456,4.82,45.8,19.9,25,27.48,25.32,65.69,9.431,9.431,9.963,0.4675,1.359,0.1218,1.2081,NA
WEEK_09,MSHN_1,40.845951,-78.097878,6.12,19.6,22.8,8,15.62,8.16,62.04,9.128,9.128,9.461,0.8065,0.0573,0.2087,1.0042,NA
WEEK_09,MSHN_2,40.935831,-78.032284,6.8,160,20.6,25,18.87,19.75,88.04,6.341,6.341,7.489,0.4597,2.093,0.1711,49.0435,NA
WEEK_09,MSHN_3,40.935831,-78.032284,NA,NA,NA,NA,NA,NA,66.72,NA,NA,NA,NA,NA,NA,NA,NA
